layer,head,entropy_mean,entropy_std,rtas_mean,rtas_std
decoder_attn_0,0,3.363403330564499,0.13428979701454966,0.6455641201883554,0.22417372790309018
decoder_attn_0,1,3.4747241768836976,0.10829470744011291,0.6934368556365371,0.2193717876021316
decoder_attn_0,2,3.2873011682033537,0.1455113619564915,0.7071307758614421,0.21532704201155192
decoder_attn_0,3,3.384881502389908,0.12106207001888394,0.7038436644524336,0.22372177222322176
decoder_attn_0,4,3.2931934835910797,0.09534516521235607,0.6443093308061362,0.2178147463861676
decoder_attn_0,5,3.37065838432312,0.10974935416730855,0.6336484670266509,0.21710063765726698
decoder_attn_0,6,3.3472036833763124,0.09355952742733387,0.738889057263732,0.1838650751364676
decoder_attn_0,7,3.402244347333908,0.10472000488075402,0.7099894607812166,0.19807193695594077
decoder_attn_0,8,3.160923840999603,0.15439742166882697,0.6928879337757826,0.21998884213675632
decoder_attn_0,9,3.179012692451477,0.10977270623113905,0.7273004546761512,0.21978692975572076
decoder_attn_0,10,3.2891919164657595,0.11451819815909355,0.7174924600869417,0.20082668011488433
decoder_attn_0,11,3.128643853187561,0.14055695734115087,0.7134423848614097,0.19588872510429162
decoder_attn_0,12,3.049363745212555,0.0974160105745122,0.6322373539581895,0.18927126691436985
decoder_attn_0,13,2.8581350910663605,0.05637718816021306,0.7470701266825199,0.1443848377972982
decoder_attn_0,14,3.3773765425682067,0.11726244754201506,0.627189337387681,0.198772968538252
decoder_attn_0,15,3.4031526734828947,0.1087198366461241,0.6807141141220927,0.21760989179176862
decoder_attn_1,0,2.944159473180771,0.10544458565591118,0.647851611673832,0.2544358110074829
decoder_attn_1,1,3.0917701630592345,0.09425417018893542,0.6585095938667656,0.23085908127693597
decoder_attn_1,2,2.8932621574401853,0.07153789579853444,0.5340623255446553,0.18644119285050476
decoder_attn_1,3,2.8702479174137117,0.066820336204797,0.49489572543650867,0.1792047355554042
decoder_attn_1,4,2.8917559425830843,0.04257766847895043,0.5860560642927886,0.18151111050298493
decoder_attn_1,5,2.364527910709381,0.044568634507877514,0.725833293274045,0.15268163374761978
decoder_attn_1,6,3.333078189611435,0.08194102554028515,0.6441945941373706,0.1715050912063422
decoder_attn_1,7,2.9898944594860075,0.049675210083094355,0.6104495190829039,0.18170881557167987
decoder_attn_1,8,3.072974812269211,0.09957644711217935,0.6466801061481238,0.23917240265646467
decoder_attn_1,9,2.83970476269722,0.10466506071001769,0.6384268046915531,0.2427116779059404
decoder_attn_1,10,3.036506473302841,0.10576872889299999,0.6701617943495513,0.2234623840585692
decoder_attn_1,11,2.8850025675296784,0.12034544238993405,0.6871121822297573,0.2130066661680723
decoder_attn_1,12,2.9830032949447634,0.08413576738042196,0.6764022935926914,0.1870591750806953
decoder_attn_1,13,2.6191626772880556,0.04994725404955393,0.7422962743788958,0.12734276442200013
