layer,head,entropy_mean,entropy_std,rtas_mean,rtas_std
cross_attentions_0,0,2.8109586486816407,0.16030149032457316,0.0,0.0
cross_attentions_0,1,2.8296104927062986,0.14189518490272052,0.0,0.0
cross_attentions_0,2,2.6874818263053895,0.15974645272811053,0.0,0.0
cross_attentions_0,3,2.197214210629463,0.21053282303608176,0.0,0.0
cross_attentions_0,4,2.683201081633568,0.21946469730218876,0.0,0.0
cross_attentions_0,5,2.5179447773694994,0.26570674404916195,0.0,0.0
cross_attentions_0,6,2.4588959974050524,0.19495826421141796,0.0,0.0
cross_attentions_0,7,1.9579139293432235,0.16106231553579,0.0,0.0
cross_attentions_0,8,3.0198161685466767,0.14845672522565104,0.0,0.0
cross_attentions_0,9,2.715764981985092,0.15983209776162846,0.0,0.0
cross_attentions_0,10,2.7506501455307006,0.1927683577590598,0.0,0.0
cross_attentions_0,11,2.6841638977527618,0.17108160113342,0.0,0.0
cross_attentions_0,12,2.5085164737701415,0.21214372020851963,0.0,0.0
cross_attentions_0,13,2.7197922260761263,0.23252563454984768,0.0,0.0
cross_attentions_0,14,1.8114321142435075,0.28364057831518713,0.0,0.0
cross_attentions_0,15,2.766360244512558,0.1907660994069525,0.0,0.0
cross_attentions_1,0,2.839975685596466,0.1787920113446394,0.0,0.0
cross_attentions_1,1,2.3431019551754,0.23298632491706653,0.0,0.0
cross_attentions_1,2,2.738421435594559,0.149028854376135,0.0,0.0
cross_attentions_1,3,2.1708295539617537,0.2955740223838918,0.0,0.0
cross_attentions_1,4,2.483860383272171,0.20222703852286567,0.0,0.0
cross_attentions_1,5,2.7322454032897947,0.19487126599985427,0.0,0.0
cross_attentions_1,6,2.7064466013908386,0.1946640597376689,0.0,0.0
cross_attentions_1,7,2.216267602086067,0.24869616572493602,0.0,0.0
cross_attentions_1,8,2.699831545352936,0.191536873245852,0.0,0.0
cross_attentions_1,9,2.3515262147188185,0.2639930218706746,0.0,0.0
cross_attentions_1,10,1.37741969281435,0.24646487598678266,0.0,0.0
cross_attentions_1,11,2.4225433704853057,0.19384804284768795,0.0,0.0
cross_attentions_1,12,2.6188183693885803,0.1862862396853994,0.0,0.0
cross_attentions_1,13,2.554378467798233,0.2578315050619027,0.0,0.0
cross_attentions_1,14,2.096918227672577,0.12822588967707563,0.0,0.0
cross_attentions_1,15,2.3383459368944166,0.21248203658378026,0.0,0.0
cross_attentions_10,0,2.3385539299249647,0.17774208522524682,0.0,0.0
cross_attentions_10,1,2.6505202283859255,0.15159796957451885,0.0,0.0
cross_attentions_10,2,2.5861404836177826,0.16570461524113245,0.0,0.0
cross_attentions_10,3,2.3162653127908706,0.1414360240614117,0.0,0.0
cross_attentions_10,4,2.1678666911125184,0.18219377561124964,0.0,0.0
cross_attentions_10,5,2.489572534561157,0.1535813364423754,0.0,0.0
cross_attentions_10,6,2.0068951358795166,0.1631841493191144,0.0,0.0
cross_attentions_10,7,2.5405535349845887,0.13425745728441774,0.0,0.0
cross_attentions_10,8,2.2500017822980882,0.21235597430948724,0.0,0.0
cross_attentions_10,9,2.4633633816242217,0.16833409277559377,0.0,0.0
cross_attentions_10,10,2.6330792722702028,0.14311679047521716,0.0,0.0
cross_attentions_10,11,1.9213555492162704,0.2306300376713565,0.0,0.0
cross_attentions_10,12,2.42076380610466,0.2113414142192023,0.0,0.0
cross_attentions_10,13,2.267018770337105,0.19454324545286128,0.0,0.0
cross_attentions_10,14,2.649781047821045,0.1554580449851044,0.0,0.0
cross_attentions_10,15,2.2632912583351135,0.20592431851271642,0.0,0.0
cross_attentions_11,0,2.6927047057151796,0.15775521307294063,0.0,0.0
cross_attentions_11,1,2.723133322238922,0.1537563377924868,0.0,0.0
cross_attentions_11,2,2.286642322540283,0.18147574530048474,0.0,0.0
cross_attentions_11,3,2.4485386947393417,0.18077910573495107,0.0,0.0
cross_attentions_11,4,2.6060071532726288,0.16011029626210552,0.0,0.0
cross_attentions_11,5,2.5810150158405305,0.18730341661359223,0.0,0.0
cross_attentions_11,6,2.272037807583809,0.17746729245799361,0.0,0.0
cross_attentions_11,7,2.7864702465534212,0.17129161089327274,0.0,0.0
cross_attentions_11,8,2.627885419845581,0.17849681465120107,0.0,0.0
cross_attentions_11,9,2.6210530434846877,0.22969032594942013,0.0,0.0
cross_attentions_11,10,2.3973584009408953,0.207892365811305,0.0,0.0
cross_attentions_11,11,2.301079511165619,0.18284134136149557,0.0,0.0
cross_attentions_11,12,2.253461172580719,0.2614137989984297,0.0,0.0
cross_attentions_11,13,1.6591394936442376,0.39167208676421666,0.0,0.0
cross_attentions_11,14,3.002639790058136,0.13004710745811435,0.0,0.0
cross_attentions_11,15,2.869612085819244,0.11898131894900285,0.0,0.0
cross_attentions_12,0,2.7731706442832946,0.14971703255205676,0.0,0.0
cross_attentions_12,1,2.3720486309528352,0.18739527047337198,0.0,0.0
cross_attentions_12,2,2.461964853167534,0.2463119314207718,0.0,0.0
cross_attentions_12,3,2.664833503961563,0.15984508722899157,0.0,0.0
cross_attentions_12,4,2.7080188386440276,0.15514422620262713,0.0,0.0
cross_attentions_12,5,2.330244330406189,0.1388951445128604,0.0,0.0
cross_attentions_12,6,1.9450615191459655,0.15026078253019542,0.0,0.0
cross_attentions_12,7,2.536108417749405,0.17258877023452898,0.0,0.0
cross_attentions_12,8,2.6868209619522094,0.15111090023504145,0.0,0.0
cross_attentions_12,9,2.359006764292717,0.17806981516753692,0.0,0.0
cross_attentions_12,10,2.558487816810608,0.15521039817181034,0.0,0.0
cross_attentions_12,11,2.5226483381986617,0.17027313898012134,0.0,0.0
cross_attentions_12,12,2.0058625140190123,0.25420126461868114,0.0,0.0
cross_attentions_12,13,2.6584854295253755,0.1463563168727794,0.0,0.0
cross_attentions_12,14,2.8408586757183074,0.13937681186184808,0.0,0.0
cross_attentions_12,15,2.729766928911209,0.19519519710999123,0.0,0.0
cross_attentions_13,0,2.786060632944107,0.15080033529446743,0.0,0.0
cross_attentions_13,1,2.8344739818573,0.132023015471559,0.0,0.0
cross_attentions_13,2,2.6416341036558153,0.23589066074594567,0.0,0.0
cross_attentions_13,3,2.4681224933862684,0.17406579605944625,0.0,0.0
cross_attentions_13,4,2.619697230577469,0.19584162651979456,0.0,0.0
cross_attentions_13,5,2.5619996254444124,0.17267769024098908,0.0,0.0
cross_attentions_13,6,2.52849818778038,0.20202875037024756,0.0,0.0
cross_attentions_13,7,2.7745782752037047,0.18354675601649165,0.0,0.0
cross_attentions_13,8,2.2305869723558427,0.19869830720604836,0.0,0.0
cross_attentions_13,9,2.4838241329193114,0.17314724803577708,0.0,0.0
cross_attentions_13,10,2.7302448477745056,0.13420104764703122,0.0,0.0
cross_attentions_13,11,2.731651257276535,0.2060004585337258,0.0,0.0
cross_attentions_13,12,2.7226294283866883,0.14217884430689598,0.0,0.0
cross_attentions_13,13,2.9222610721588134,0.12399266626672098,0.0,0.0
cross_attentions_13,14,2.619209732532501,0.13582014368363732,0.0,0.0
cross_attentions_13,15,2.6633127002716064,0.12216263387035253,0.0,0.0
cross_attentions_14,0,2.3723002843856813,0.19352032372290268,0.0,0.0
cross_attentions_14,1,2.607958420991898,0.2076729642791767,0.0,0.0
cross_attentions_14,2,2.409765210151672,0.17717828092457874,0.0,0.0
cross_attentions_14,3,2.658860469341278,0.16225235042134556,0.0,0.0
cross_attentions_14,4,3.034726773262024,0.2107708517801056,0.0,0.0
cross_attentions_14,5,2.8612163066864014,0.15393832714500738,0.0,0.0
cross_attentions_14,6,2.6594133670330047,0.14044626279653427,0.0,0.0
cross_attentions_14,7,2.6707918395996093,0.16776267386834956,0.0,0.0
cross_attentions_14,8,2.6210273644924165,0.1513611048526826,0.0,0.0
cross_attentions_14,9,2.8170556299686433,0.20129801616650872,0.0,0.0
cross_attentions_14,10,3.1517893602848055,0.14509045330272397,0.0,0.0
cross_attentions_14,11,2.9203176634311676,0.20154980885020796,0.0,0.0
cross_attentions_14,12,1.978594942688942,0.19990119686859262,0.0,0.0
cross_attentions_14,13,2.785544389247894,0.1577291824286314,0.0,0.0
cross_attentions_14,14,2.2652408802509307,0.19117155918180284,0.0,0.0
cross_attentions_14,15,2.672165992975235,0.1482589417646828,0.0,0.0
cross_attentions_15,0,2.528107570886612,0.1467006077792721,0.0,0.0
cross_attentions_15,1,2.5755054912567137,0.1394878162829255,0.0,0.0
cross_attentions_15,2,2.6396239907741545,0.17975604070466403,0.0,0.0
cross_attentions_15,3,2.1587191001176835,0.1779614186770991,0.0,0.0
cross_attentions_15,4,2.4001667870283128,0.17284460670384114,0.0,0.0
cross_attentions_15,5,2.6958870351314546,0.14695418988720751,0.0,0.0
cross_attentions_15,6,2.501023423910141,0.16709460608887214,0.0,0.0
cross_attentions_15,7,2.4240372236967085,0.16212925009361917,0.0,0.0
cross_attentions_15,8,2.5332771487236023,0.1945134426528137,0.0,0.0
cross_attentions_15,9,2.4595349731445313,0.18018657687567055,0.0,0.0
cross_attentions_15,10,3.0799956572055818,0.2198230792413953,0.0,0.0
cross_attentions_15,11,2.809966094017029,0.1586112237619979,0.0,0.0
cross_attentions_15,12,2.5279657979011536,0.18032681610519544,0.0,0.0
cross_attentions_15,13,2.5901424248218534,0.16556450988954796,0.0,0.0
cross_attentions_15,14,2.2951826074123383,0.2806510490698197,0.0,0.0
cross_attentions_15,15,2.560054927587509,0.14994657358978963,0.0,0.0
cross_attentions_16,0,2.824332429409027,0.22256237745300245,0.0,0.0
cross_attentions_16,1,2.7148892147541046,0.14331260641313356,0.0,0.0
cross_attentions_16,2,2.710845122098923,0.14954787995438398,0.0,0.0
cross_attentions_16,3,2.486403219819069,0.18291132671275145,0.0,0.0
cross_attentions_16,4,2.2561302851438523,0.1891921738957638,0.0,0.0
cross_attentions_16,5,2.651847002029419,0.16582384949838078,0.0,0.0
cross_attentions_16,6,2.381214028596878,0.18781523959725374,0.0,0.0
cross_attentions_16,7,2.4368881018161774,0.1821387904917537,0.0,0.0
cross_attentions_16,8,1.8966989797353744,0.3382867904664009,0.0,0.0
cross_attentions_16,9,2.746887053728104,0.1579486680668778,0.0,0.0
cross_attentions_16,10,2.5662873892784117,0.2243311194588087,0.0,0.0
cross_attentions_16,11,2.8839309580326082,0.15696270630038262,0.0,0.0
cross_attentions_16,12,2.685553083896637,0.17775622664579044,0.0,0.0
cross_attentions_16,13,2.8510074133872987,0.1608973547156151,0.0,0.0
cross_attentions_16,14,2.6118502769470213,0.19573064423099015,0.0,0.0
cross_attentions_16,15,2.9573104338645937,0.18296267625838458,0.0,0.0
cross_attentions_17,0,2.2467919952869417,0.16749150959624384,0.0,0.0
cross_attentions_17,1,2.6211915551424028,0.20594411333252155,0.0,0.0
cross_attentions_17,2,2.5521513400077818,0.21755500912469583,0.0,0.0
cross_attentions_17,3,2.9910617887973787,0.17049245039426736,0.0,0.0
cross_attentions_17,4,2.225964631676674,0.21627853438921846,0.0,0.0
cross_attentions_17,5,2.2418139239549637,0.15227467707015307,0.0,0.0
cross_attentions_17,6,2.6892206609249114,0.15291648620926693,0.0,0.0
cross_attentions_17,7,2.8887444410324097,0.21473113215016948,0.0,0.0
cross_attentions_17,8,2.497768846988678,0.17223001541208208,0.0,0.0
cross_attentions_17,9,2.2989686485528944,0.25068296474202717,0.0,0.0
cross_attentions_17,10,2.5099456062316894,0.17037073060537927,0.0,0.0
cross_attentions_17,11,2.7175887031555175,0.11214599936656408,0.0,0.0
cross_attentions_17,12,2.625560289144516,0.16717779132347538,0.0,0.0
cross_attentions_17,13,2.431683252453804,0.20187779134952186,0.0,0.0
cross_attentions_17,14,2.6015743486881258,0.16771986349803078,0.0,0.0
cross_attentions_17,15,2.6887731523513794,0.18563413073855842,0.0,0.0
cross_attentions_18,0,2.4084034526348113,0.17364966138348453,0.0,0.0
cross_attentions_18,1,2.4235139915943145,0.1822879133671697,0.0,0.0
cross_attentions_18,2,2.0844318734407423,0.21661497322558446,0.0,0.0
cross_attentions_18,3,2.741613298892975,0.16439578538678012,0.0,0.0
cross_attentions_18,4,2.2322210117578507,0.21267324844209487,0.0,0.0
cross_attentions_18,5,2.1436573222875595,0.19828481194540062,0.0,0.0
cross_attentions_18,6,2.7467894186973574,0.1659813215836028,0.0,0.0
cross_attentions_18,7,2.7600526332855226,0.23450837539573935,0.0,0.0
cross_attentions_18,8,3.2457152066230774,0.13881701724188833,0.0,0.0
cross_attentions_18,9,2.266390749812126,0.3411394920072571,0.0,0.0
cross_attentions_18,10,2.8749617216587064,0.15563903590520864,0.0,0.0
cross_attentions_18,11,2.555692314743996,0.343814691048835,0.0,0.0
cross_attentions_18,12,2.746580328941345,0.20051193444490598,0.0,0.0
cross_attentions_18,13,2.4577110673189164,0.1705463800596181,0.0,0.0
cross_attentions_18,14,2.543697869539261,0.2763869747914023,0.0,0.0
